"model","ens","year","p_e","p_e_ano","pr","pr_ano","gmst_ano"
"UKESM1","r17i1p1f2",2031,-1.69681534753181,-0.725663639186678,0.533139333128929,-0.985901153289888,1.55001424153647
"UKESM1","r17i1p1f2",2032,-1.35759642580524,-0.386444717460108,0.6669751717709,-0.852065314647916,1.60946248372397
"UKESM1","r17i1p1f2",2033,-1.46835101768374,-0.497199309338612,0.928455503890291,-0.590584982528526,1.6701619466146
"UKESM1","r17i1p1f2",2034,-1.18852343293838,-0.217371724593249,1.27271818346344,-0.246322302955377,1.7309529622396
"UKESM1","r17i1p1f2",2035,-0.971150561235845,1.14710928755812e-06,1.33827430545352,-0.180766180965293,1.79079793294272
"UKESM1","r17i1p1f2",2036,-0.856090316665359,0.115061391679774,1.23677577066701,-0.282264715751808,1.85149739583335
"UKESM1","r17i1p1f2",2037,-1.65344512788579,-0.682293419540656,0.583207859017421,-0.935832627401396,1.9124715169271
"UKESM1","r17i1p1f2",2038,-0.893336534500122,0.0778151738450106,1.38286707806401,-0.136173408354807,1.97140096028647
"UKESM1","r17i1p1f2",2039,-1.10702288802713,-0.135871179681999,1.18530855397694,-0.333731932441879,2.02859090169272
"UKESM1","r17i1p1f2",2040,-1.04606238019187,-0.0749106718467374,1.29908699600492,-0.2199534904139,2.0838582356771
"UKESM1","r17i1p1f2",2041,-1.19954629044514,-0.228394582100009,1.08167483413126,-0.437365652287554,2.1367146809896
"UKESM1","r17i1p1f2",2042,-0.238609680673108,0.732542027672025,1.88408031826839,0.365039831849572,2.18706868489585
"UKESM1","r17i1p1f2",2043,-1.31076827819925,-0.339616569854115,0.968377068056725,-0.550663418362092,2.23760579427085
"UKESM1","r17i1p1f2",2044,-1.16699100472033,-0.195839296375198,1.31997608696111,-0.199064399457711,2.28963826497397
"UKESM1","r17i1p1f2",2045,-0.971998678869568,-0.000846970524435164,1.08187034202274,-0.437170144396077,2.34121297200522
"UKESM1","r17i1p1f2",2046,-1.36513448087499,-0.393982772529853,0.802886238670908,-0.716154247747909,2.39309285481772
"UKESM1","r17i1p1f2",2047,-1.29668715235312,-0.325535444007983,0.860425594146363,-0.658614892272453,2.44729207356772
"UKESM1","r17i1p1f2",2048,-1.06332208088133,-0.0921703725362022,1.15503256965894,-0.364007916759874,2.50197957356772
"UKESM1","r17i1p1f2",2049,-0.977005346794613,-0.00585363844948006,1.16065357869957,-0.35838690771925,2.5563924153646
"UKESM1","r17i1p1f2",2050,-1.16025242605247,-0.189100717707333,1.30625973106362,-0.212780755355197,2.61233113606772
"UKESM1","r17i1p1f2",2051,-1.38043030165136,-0.409278593306226,0.849916259176098,-0.669124227242719,2.67013142903647
"UKESM1","r17i1p1f2",2052,-1.25281496148091,-0.281663253135775,0.856402909266762,-0.662637577152054,2.72759602864585
"UKESM1","r17i1p1f2",2053,-1.00498670653906,-0.0338349981939245,1.09118525579106,-0.427855230627756,2.78484700520835
"UKESM1","r17i1p1f2",2054,-1.66101932991296,-0.689867621567828,0.291547233791789,-1.22749325262703,2.8430135091146
"UKESM1","r17i1p1f2",2055,-0.999540853081271,-0.0283891447361384,0.819887017132714,-0.699153469286102,2.90142415364585
"UKESM1","r17i1p1f2",2056,-1.51138868532144,-0.540236976976303,0.318577771395212,-1.2004627150236,2.95870564778647
"UKESM1","r17i1p1f2",2057,-1.09706267248839,-0.125910964143259,1.06279818573967,-0.456242300679151,3.01653645833335
